constraint_id,code,name,kind,default_weight,xhstt_ref,description
1,H1,No teacher overlap,HARD,,AvoidClashesConstraint,A teacher has <=1 session per slot
2,H2,No group overlap,HARD,,AvoidClashesConstraint,A group has <=1 session per slot
3,H3,No room overlap,HARD,,AvoidClashesConstraint,A room hosts <=1 session per slot
4,H4,Room type match,HARD,,PreferResourcesConstraint,Session placed in a room of required type
5,H5,Room capacity,HARD,,-,Room capacity >= group size
6,H6,Teacher availability,HARD,,AvoidUnavailableTimesConstraint,Respect declared unavailability
7,H7,Each session placed once,HARD,,AssignTimeConstraint,"Exactly one (slot,room) per session"
8,H8,No day-boundary crossing,HARD,,-,Multi-period session stays within one day
9,H9,Closed slots blocked,HARD,,AvoidUnavailableTimesConstraint,No session on is_open=0 slot / holiday
10,H10,Locked sessions fixed,HARD,,AssignTimeConstraint,is_locked sessions keep given slot
11,H11,Room capacity aggregate,HARD,,-,Sum of demand <= room capacity
12,H12,Group hierarchy exclusion,HARD,,LinkEventsConstraint,Parent busy => children busy (and vice-versa)
13,S2,Student idle time,SOFT,0.25,LimitIdleTimesConstraint,Minimise gaps in a group's day
14,S3,Teacher idle time,SOFT,0.15,LimitIdleTimesConstraint,Minimise gaps in a teacher's day
15,S4,Extra working day,SOFT,0.1,ClusterBusyTimesConstraint,Fewer distinct days on site
16,S5,Teacher preference,SOFT,0.2,PreferTimesConstraint,Honour preferred windows
17,S6,Room efficiency,SOFT,0.1,-,Avoid under/over-utilised rooms
18,S7,Subject spread,SOFT,0.1,SpreadEventsConstraint,Spread a course across the week
19,S10,Lunch break,SOFT,0.0,LimitBusyTimesConstraint,Keep a midday break where possible
